Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-64-128', arch_mlp_top='512-256-1', arch_sparse_feature_size=128, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', debug_mode=False, enable_profiling=False, inference_only=False, learning_rate=0.01, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=True, mini_batch_size=128, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=True, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='saved_models/full', save_onnx=False, sync_dense_params=True, test_freq=10240, test_mini_batch_size=-1, test_num_workers=16, use_gpu=True)
Using 1 GPU(s)...
Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
Sparse features= 26, Dense features= 13
Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
Sparse features= 26, Dense features= 13
****************************************
4322150465
******************************************
time/loss/accuracy (if enabled):
Finished training it 1024/306969 of epoch 0, 11.43 ms/it, loss 0.535119, accuracy 73.717 %
Finished training it 2048/306969 of epoch 0, 12.32 ms/it, loss 0.511809, accuracy 75.877 %
Finished training it 3072/306969 of epoch 0, 12.34 ms/it, loss 0.507838, accuracy 76.057 %
Finished training it 4096/306969 of epoch 0, 12.31 ms/it, loss 0.504215, accuracy 76.274 %
Finished training it 5120/306969 of epoch 0, 12.33 ms/it, loss 0.500158, accuracy 76.509 %
Finished training it 6144/306969 of epoch 0, 12.33 ms/it, loss 0.498318, accuracy 76.627 %
Finished training it 7168/306969 of epoch 0, 12.04 ms/it, loss 0.495705, accuracy 76.736 %
Finished training it 8192/306969 of epoch 0, 11.89 ms/it, loss 0.495090, accuracy 76.662 %
Finished training it 9216/306969 of epoch 0, 11.89 ms/it, loss 0.494878, accuracy 76.765 %
Finished training it 10240/306969 of epoch 0, 11.88 ms/it, loss 0.492305, accuracy 76.939 %
Saving model to saved_models/full
Testing at - 10240/306969 of epoch 0, loss 0.496044, accuracy 76.502 %, best 76.502 %
Finished training it 11264/306969 of epoch 0, 10.26 ms/it, loss 0.490428, accuracy 77.070 %
Finished training it 12288/306969 of epoch 0, 10.26 ms/it, loss 0.491800, accuracy 76.965 %
Finished training it 13312/306969 of epoch 0, 11.83 ms/it, loss 0.487894, accuracy 77.171 %
Finished training it 14336/306969 of epoch 0, 11.94 ms/it, loss 0.485396, accuracy 77.370 %
Finished training it 15360/306969 of epoch 0, 11.94 ms/it, loss 0.486792, accuracy 77.247 %
Finished training it 16384/306969 of epoch 0, 11.93 ms/it, loss 0.486797, accuracy 77.245 %
Finished training it 17408/306969 of epoch 0, 11.93 ms/it, loss 0.482248, accuracy 77.571 %
